# time x y z qx qy qz qw vx vy vz ba_x ba_y ba_z bg_x bg_y bg_z
0.130000000 9.999739383 9.998957559 9.995830672 0.054877633 0.060690739 0.029908854 0.996198043 -0.004009457 -0.016036993 -0.064134596 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.135000000 9.999718950 9.998875833 9.995503836 0.057034235 0.062947965 0.031179047 0.995897845 -0.004163661 -0.016653709 -0.066599860 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.140000000 9.999697746 9.998791022 9.995164673 0.059193396 0.065198759 0.032457522 0.995586145 -0.004317865 -0.017270416 -0.069064959 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.145000000 9.999675772 9.998703128 9.994813186 0.061355024 0.067443050 0.033744211 0.995262942 -0.004472068 -0.017887111 -0.071529887 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.150000000 9.999653026 9.998612151 9.994449375 0.063519027 0.069680764 0.035039045 0.994928233 -0.004626270 -0.018503796 -0.073994640 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.155000000 9.999629509 9.998518090 9.994073240 0.065685313 0.071911830 0.036341954 0.994582018 -0.004780472 -0.019120469 -0.076459209 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.160000000 9.999605221 9.998420946 9.993684783 0.067853788 0.074136177 0.037652867 0.994224297 -0.004934672 -0.019737131 -0.078923590 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.165000000 9.999580162 9.998320719 9.993284005 0.070024360 0.076353736 0.038971712 0.993855071 -0.005088872 -0.020353780 -0.081387777 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.170000000 9.999554332 9.998217409 9.992870906 0.072196936 0.078564435 0.040298417 0.993474343 -0.005243072 -0.020970417 -0.083851762 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.175000000 9.999527731 9.998111015 9.992445487 0.074371422 0.080768208 0.041632910 0.993082116 -0.005397270 -0.021587041 -0.086315541 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.180000000 9.999500360 9.998001538 9.992007751 0.076547725 0.082964985 0.042975118 0.992678395 -0.005551468 -0.022203651 -0.088779106 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.185000000 9.999472217 9.997888978 9.991557697 0.078725752 0.085154700 0.044324967 0.992263186 -0.005705664 -0.022820248 -0.091242453 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.190000000 9.999443303 9.997773336 9.991095326 0.080905409 0.087337285 0.045682383 0.991836495 -0.005859860 -0.023436831 -0.093705574 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.195000000 9.999413618 9.997654610 9.990620641 0.083086602 0.089512676 0.047047291 0.991398331 -0.006014055 -0.024053399 -0.096168465 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.200000000 9.999383162 9.997532802 9.990133642 0.085269238 0.091680807 0.048419614 0.990948701 -0.006168249 -0.024669952 -0.098631117 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.205000000 9.999351936 9.997407911 9.989634330 0.087453223 0.093841614 0.049799278 0.990487616 -0.006322442 -0.025286491 -0.101093527 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.210000000 9.999319938 9.997279937 9.989122707 0.089638463 0.095995033 0.051186206 0.990015087 -0.006476634 -0.025903013 -0.103555687 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.215000000 9.999287169 9.997148881 9.988598774 0.091824864 0.098141002 0.052580321 0.989531125 -0.006630825 -0.026519520 -0.106017592 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.220000000 9.999253630 9.997014742 9.988062532 0.094012332 0.100279459 0.053981545 0.989035745 -0.006785015 -0.027136010 -0.108479235 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.225000000 9.999219319 9.996877521 9.987513982 0.096200773 0.102410342 0.055389800 0.988528959 -0.006939204 -0.027752484 -0.110940610 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.230000000 9.999184238 9.996737217 9.986953126 0.098390093 0.104533591 0.056805007 0.988010784 -0.007093392 -0.028368940 -0.113401712 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
